code_name,SMILES
mol_369,CC(C)Oc1ccc(Br)cn1
mol_370,COc1cc(Br)c(C=O)c(OC)c1
mol_371,NC(=O)c1coc(Br)c1
mol_372,Cc1nc(N)c(N)cc1Br
mol_373,CC(C)(C)OC(=O)Nc1ccsc1Br
mol_374,O=C(Nc1ncccn1)c1ccccc1Br
mol_375,OCCOc1cncc(Br)c1
mol_376,Brc1ncn2ccccc12
mol_377,Cc1c(Br)csc1C=O
mol_378,CC(O)Cc1cccc(F)c1Br
mol_379,CCc1c(C)nn(-c2cccc(Br)c2)c1C
mol_380,Nc1nn(-c2ncccn2)cc1Br
mol_381,O=C(Nc1ccccn1)c1ccc(Br)cc1
mol_382,COc1cccc(Br)c1O
mol_383,O=C1CCCCN1c1ccc(Br)cc1F
mol_384,NC(c1cccc(F)c1)c1cccc(Br)c1
mol_385,OCCNc1ccc(Br)cc1
mol_386,O=S(=O)(Nc1ccccc1Br)N1CCCC1
mol_387,Brc1nnc(C2CC2)s1
mol_388,NNC(=O)c1cc(Br)ccc1O
mol_389,CC(C)Oc1ccccc1Br
mol_390,O=S(=O)(Nc1ccccc1Br)N1CCOCC1
mol_391,Cn1c(-c2ccccc2)c(Br)c2ccccc21
mol_392,Nc1cc(Br)c[nH]c1=S
mol_393,CC(N)Cc1ccc(F)c(Br)c1
mol_394,O=C(Cc1ccc(Br)cc1)C(F)(F)F
mol_395,Cc1nc2[nH]cnc2cc1Br
mol_396,Cc1cc(C)c(Br)s1
mol_397,Brc1ccc(CN2CCNCC2)cc1
mol_398,CCOc1ccc(Br)cc1C#N
mol_399,CC(=O)c1cc(Br)ccc1F
mol_400,O=CN1CCN(S(=O)(=O)c2ccc(Br)cc2)CC1
mol_401,Oc1ccc(-c2noc(-c3cccc(Br)c3)n2)cc1
mol_402,NCC(O)COc1ccccc1Br
mol_403,CC(=O)c1ccc(Br)c(F)c1
mol_404,CC(C)(C)C(=O)Nc1ncc(Br)s1
mol_405,CC(C)CNCc1ccccc1Br
mol_406,CCOC(=O)Cc1c[nH]c2cc(Br)ccc12
mol_407,NNC(=O)CSc1nnc(-c2ccccc2)n1-c1ccc(Br)cc1
mol_408,CCOC(=O)c1sc(Br)nc1C
mol_409,CCOc1cc(C#N)cc(Br)c1OCC
mol_410,COc1cc(Br)cc(CO)c1O
mol_411,Cc1cc2c(cc1Br)NCC(C)O2
mol_412,CC(=O)c1ccc(Br)cc1F
mol_413,CC(C)c1[nH]ncc1Br
mol_414,CC(O)c1ccc(Br)cc1F
mol_415,OC1(c2ccccc2Br)CC1
mol_416,COc1sc(C=O)cc1Br
mol_417,C=C(CC)c1ccc(Br)cc1
mol_418,NCC1(c2cccc(Br)c2)CCCC1
mol_419,OC1(c2ccc(Br)c(F)c2)CC1
mol_420,CC(C)(CN)c1ccccc1Br
mol_421,COC(=O)c1ccc(Br)cc1F
mol_422,Brc1ccccc1Oc1cccnn1
mol_423,NC1(c2ccccc2Br)CC1
mol_424,CS(=O)(=O)Nc1cc(Br)ccc1F
mol_425,Cc1nc2c(cnn2-c2cccc(Br)c2)c(=O)[nH]1
mol_426,Brc1ccn2nccc2n1
mol_427,N#Cc1cc2ccccc2nc1Br
mol_428,CC(=O)c1cc(Br)c(F)cc1O
mol_429,Cc1cc(Br)c(F)cc1F
mol_430,CCOc1cc(C=O)cc(Br)c1OCC
mol_431,Cc1nc(-c2ccc(Br)cc2)cs1
mol_432,Cc1cc(N)ccc1S(=O)(=O)Nc1ccc(Br)cc1
mol_433,CCOc1cc(C=O)cc(Br)c1O
mol_434,CC(C)c1cc(C(C)C)c(Br)c(C(C)C)c1
mol_435,Nc1nn2cc(-c3ccc(Br)cc3)nc2c2ccccc12
mol_436,O=C1CNc2ccc(Br)cc2N1
mol_437,Fc1ccc(-c2nnc(Br)o2)cc1
mol_438,Fc1ccc(Br)cc1C(F)(F)F
mol_439,Oc1ccc(Br)c(F)c1
mol_440,O=Cc1ccc(O)c(Br)c1
